ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2012-06-01,35.30957621050798,34.80419649430945,35.56068737627494,35.30911054450287,35.31056683955144,-0.11339868605375056,-0.11339868605375056,-0.11339868605375056,-0.11339868605375056,-0.11339868605375056,-0.11339868605375056,0.0,0.0,0.0,35.19617752445423
2012-07-01,35.30954576554271,35.169857919211076,35.89397181111144,35.308459309722885,35.31104003824486,0.22604402337300414,0.22604402337300414,0.22604402337300414,0.22604402337300414,0.22604402337300414,0.22604402337300414,0.0,0.0,0.0,35.535589788915715
2012-08-01,35.30951430574526,35.43672565254392,36.17781860264918,35.30807567544579,35.31119934485644,0.5054201952643779,0.5054201952643779,0.5054201952643779,0.5054201952643779,0.5054201952643779,0.5054201952643779,0.0,0.0,0.0,35.81493450100964
2012-09-01,35.30948284594781,35.58322551146216,36.33728614414235,35.307386102795796,35.311828691441,0.6425937874883778,0.6425937874883778,0.6425937874883778,0.6425937874883778,0.6425937874883778,0.6425937874883778,0.0,0.0,0.0,35.95207663343619
2012-10-01,35.309452400982536,35.611956995804654,36.325784627530425,35.30670534743604,35.31303424584929,0.6591487095717788,0.6591487095717788,0.6591487095717788,0.6591487095717788,0.6591487095717788,0.6591487095717788,0.0,0.0,0.0,35.96860111055432
2012-11-01,35.30942094118509,35.44355616545217,36.223530639314625,35.30593866160399,35.31440500473559,0.5205897052263377,0.5205897052263377,0.5205897052263377,0.5205897052263377,0.5205897052263377,0.5205897052263377,0.0,0.0,0.0,35.830010646411424
2012-12-01,35.30939049621982,35.17231405037681,35.937215100077424,35.30511972535818,35.315856185367075,0.2137150616059973,0.2137150616059973,0.2137150616059973,0.2137150616059973,0.2137150616059973,0.2137150616059973,0.0,0.0,0.0,35.523105557825815
2013-01-01,35.30935903642238,34.52278663945865,35.26704547028661,35.3045565524628,35.31666489603629,-0.4254602902557371,-0.4254602902557371,-0.4254602902557371,-0.4254602902557371,-0.4254602902557371,-0.4254602902557371,0.0,0.0,0.0,34.88389874616664
2013-02-01,35.30932757662493,34.307209494345855,35.041268315593854,35.30381759291044,35.31744696700285,-0.6388121982077388,-0.6388121982077388,-0.6388121982077388,-0.6388121982077388,-0.6388121982077388,-0.6388121982077388,0.0,0.0,0.0,34.67051537841719
2013-03-01,35.30929916132401,34.24651283209521,34.97379208111266,35.30315600386389,35.319092766832604,-0.6898530729472685,-0.6898530729472685,-0.6898530729472685,-0.6898530729472685,-0.6898530729472685,-0.6898530729472685,0.0,0.0,0.0,34.61944608837675
2013-04-01,35.309267701526565,34.33965457548119,35.07320129476191,35.30217956802223,35.32034287588985,-0.6097882700153207,-0.6097882700153207,-0.6097882700153207,-0.6097882700153207,-0.6097882700153207,-0.6097882700153207,0.0,0.0,0.0,34.69947943151124
2013-05-01,35.30923725656129,34.53724294180976,35.25816515113152,35.30150608363771,35.32107735445486,-0.4072301575543408,-0.4072301575543408,-0.4072301575543408,-0.4072301575543408,-0.4072301575543408,-0.4072301575543408,0.0,0.0,0.0,34.90200709900695
2013-06-01,35.30920579676385,34.806603393155115,35.57428419565448,35.300420108746444,35.322109366649414,-0.1109054398006679,-0.1109054398006679,-0.1109054398006679,-0.1109054398006679,-0.1109054398006679,-0.1109054398006679,0.0,0.0,0.0,35.19830035696318
2013-07-01,35.30917535179857,35.1608110257267,35.89639222627632,35.29973462324455,35.32302700809115,0.21749153945070823,0.21749153945070823,0.21749153945070823,0.21749153945070823,0.21749153945070823,0.21749153945070823,0.0,0.0,0.0,35.52666689124928
2013-08-01,35.309143892001124,35.403139800773374,36.172263989871254,35.298580634292826,35.324038703481726,0.4915795508388906,0.4915795508388906,0.4915795508388906,0.4915795508388906,0.4915795508388906,0.4915795508388906,0.0,0.0,0.0,35.80072344284002
2013-09-01,35.30911243220368,35.60043310150704,36.33631385341485,35.29727661831472,35.32454352636071,0.6438570756240047,0.6438570756240047,0.6438570756240047,0.6438570756240047,0.6438570756240047,0.6438570756240047,0.0,0.0,0.0,35.95296950782769
2013-10-01,35.309081987238415,35.61404732764579,36.33433358951518,35.29633835497836,35.32547497564676,0.6713959322514119,0.6713959322514119,0.6713959322514119,0.6713959322514119,0.6713959322514119,0.6713959322514119,0.0,0.0,0.0,35.98047791948983
2013-11-01,35.30905052744097,35.48081161524741,36.20853957227556,35.29512234224988,35.32649670163652,0.5195880789081345,0.5195880789081345,0.5195880789081345,0.5195880789081345,0.5195880789081345,0.5195880789081345,0.0,0.0,0.0,35.8286386063491
2013-12-01,35.3090200824757,35.12885448894291,35.87452329657525,35.29273759550175,35.32806984467122,0.20551080406389516,0.20551080406389516,0.20551080406389516,0.20551080406389516,0.20551080406389516,0.20551080406389516,0.0,0.0,0.0,35.514530886539596
2014-01-01,35.30898862267825,34.540552806147346,35.24903845607441,35.29051630630668,35.32907270915418,-0.40376817526355985,-0.40376817526355985,-0.40376817526355985,-0.40376817526355985,-0.40376817526355985,-0.40376817526355985,0.0,0.0,0.0,34.90522044741469
2014-02-01,35.3089571628808,34.298583624612206,35.0452316741783,35.28964791140318,35.32984947697801,-0.637753842137832,-0.637753842137832,-0.637753842137832,-0.637753842137832,-0.637753842137832,-0.637753842137832,0.0,0.0,0.0,34.67120332074297
2014-03-01,35.30892874757988,34.24566113781857,34.971436732577445,35.28756429086117,35.331078766271865,-0.7056648554511132,-0.7056648554511132,-0.7056648554511132,-0.7056648554511132,-0.7056648554511132,-0.7056648554511132,0.0,0.0,0.0,34.603263892128766
2014-04-01,35.308897287782436,34.329629305500056,35.06383352598656,35.28612353817468,35.33208829600031,-0.6090427147216084,-0.6090427147216084,-0.6090427147216084,-0.6090427147216084,-0.6090427147216084,-0.6090427147216084,0.0,0.0,0.0,34.699854573060826
2014-05-01,35.30886684281716,34.53413634838974,35.270248273548575,35.284065763056084,35.33306385273753,-0.3970379728804769,-0.3970379728804769,-0.3970379728804769,-0.3970379728804769,-0.3970379728804769,-0.3970379728804769,0.0,0.0,0.0,34.911828869936684
2014-06-01,35.30883538301972,34.855313489402775,35.55704880266233,35.28239538153618,35.33407358955566,-0.10870212994011438,-0.10870212994011438,-0.10870212994011438,-0.10870212994011438,-0.10870212994011438,-0.10870212994011438,0.0,0.0,0.0,35.200133253079606
2014-07-01,35.30880493805445,35.1413290601988,35.88929289767289,35.281112676786485,35.335072802879274,0.20866827507402932,0.20866827507402932,0.20866827507402932,0.20866827507402932,0.20866827507402932,0.20866827507402932,0.0,0.0,0.0,35.51747321312848
2014-08-01,35.308773478257,35.3962540245525,36.155935851591,35.279940964870256,35.336085928164216,0.4778557376660339,0.4778557376660339,0.4778557376660339,0.4778557376660339,0.4778557376660339,0.4778557376660339,0.0,0.0,0.0,35.786629215923035
2014-09-01,35.308742018459554,35.59890764571686,36.31273898768944,35.279132830335584,35.33727684197468,0.645450137846998,0.645450137846998,0.645450137846998,0.645450137846998,0.645450137846998,0.645450137846998,0.0,0.0,0.0,35.954192156306554
2014-10-01,35.30871157349428,35.624110375284474,36.37983532482158,35.27790280843139,35.33825034416895,0.683579572552784,0.683579572552784,0.683579572552784,0.683579572552784,0.683579572552784,0.683579572552784,0.0,0.0,0.0,35.992291146047066
2014-11-01,35.30868011369684,35.479825768907915,36.22492051466221,35.27631625686703,35.339791807712146,0.5183209103319937,0.5183209103319937,0.5183209103319937,0.5183209103319937,0.5183209103319937,0.5183209103319937,0.0,0.0,0.0,35.82700102402883
2014-12-01,35.30864966873156,35.1314234440263,35.87044357060038,35.27480954323159,35.34054921916362,0.19749341372088336,0.19749341372088336,0.19749341372088336,0.19749341372088336,0.19749341372088336,0.19749341372088336,0.0,0.0,0.0,35.506143082452446
2015-01-01,35.30861820893412,34.562138059973066,35.29450292636054,35.273494508977244,35.34112244647344,-0.3819420615885215,-0.3819420615885215,-0.3819420615885215,-0.3819420615885215,-0.3819420615885215,-0.3819420615885215,0.0,0.0,0.0,34.926676147345596
2015-02-01,35.30858674913667,34.33257918989882,35.04793023438499,35.27165383364441,35.34248758108622,-0.6370843054559564,-0.6370843054559564,-0.6370843054559564,-0.6370843054559564,-0.6370843054559564,-0.6370843054559564,0.0,0.0,0.0,34.671502443680716
2015-03-01,35.308558333835755,34.19894104202511,34.97122614854816,35.269778097630066,35.34318110182717,-0.721356574152691,-0.721356574152691,-0.721356574152691,-0.721356574152691,-0.721356574152691,-0.721356574152691,0.0,0.0,0.0,34.58720175968306
2015-04-01,35.30852687403831,34.338149207311,35.0901581423707,35.26914472076977,35.34414567545599,-0.6078751001805965,-0.6078751001805965,-0.6078751001805965,-0.6078751001805965,-0.6078751001805965,-0.6078751001805965,0.0,0.0,0.0,34.70065177385771
2015-05-01,35.30849642907304,34.525009799634525,35.28808637832079,35.26697040764189,35.34589331739684,-0.38679813726441914,-0.38679813726441914,-0.38679813726441914,-0.38679813726441914,-0.38679813726441914,-0.38679813726441914,0.0,0.0,0.0,34.92169829180862
2015-06-01,35.30846496927559,34.83309195534762,35.551235236854176,35.26497793738928,35.34690938998415,-0.10679666747455968,-0.10679666747455968,-0.10679666747455968,-0.10679666747455968,-0.10679666747455968,-0.10679666747455968,0.0,0.0,0.0,35.20166830180103
2015-07-01,35.308434524310314,35.09076347723011,35.890810394984975,35.26348359646998,35.347926477403625,0.199584015094421,0.199584015094421,0.199584015094421,0.199584015094421,0.199584015094421,0.199584015094421,0.0,0.0,0.0,35.50801853940474
2015-08-01,35.308403064512866,35.42490236501782,36.16941668575836,35.261908040284354,35.34886964056582,0.4642639368307832,0.4642639368307832,0.4642639368307832,0.4642639368307832,0.4642639368307832,0.4642639368307832,0.0,0.0,0.0,35.77266700134365
2015-09-01,35.308371604715425,35.56873571520895,36.33359464377313,35.26005748212121,35.34998300616705,0.6473708919477613,0.6473708919477613,0.6473708919477613,0.6473708919477613,0.6473708919477613,0.6473708919477613,0.0,0.0,0.0,35.955742496663184
2015-10-01,35.30834115975016,35.62047601265104,36.378667291721236,35.25753144693126,35.35188651611162,0.6956862449424386,0.6956862449424386,0.6956862449424386,0.6956862449424386,0.6956862449424386,0.6956862449424386,0.0,0.0,0.0,36.00402740469259
2015-11-01,35.30830969995271,35.4563607980503,36.207733414627846,35.255982384435875,35.35502097603137,0.5167911073147236,0.5167911073147236,0.5167911073147236,0.5167911073147236,0.5167911073147236,0.5167911073147236,0.0,0.0,0.0,35.82510080726743
2015-12-01,35.30827925498744,35.14021129655522,35.87694766228175,35.254363690361764,35.35746306491746,0.18967237576817805,0.18967237576817805,0.18967237576817805,0.18967237576817805,0.18967237576817805,0.18967237576817805,0.0,0.0,0.0,35.497951630755615
